zip_code,population,median_income,num_bachelors,num_masters,num_doctorate,num_white,pct_tertiary,pct_white
00601,16834,17526,1773,237,23,14170,12.1,84.2
00602,37642,20260,4767,1181,109,18479,16.1,49.1
00603,49075,17703,6001,2132,337,36216,17.299999999999997,73.8
00606,5590,19603,287,129,0,3721,7.3999999999999995,66.60000000000001
00610,25542,22796,3199,846,17,11182,15.9,43.8
00611,1315,22525,179,39,18,765,17.9,58.199999999999996
00612,63312,22305,9930,2232,617,23571,20.200000000000003,37.2
00616,9625,23652,1329,187,53,3512,16.3,36.5
00617,22573,20328,2960,796,52,8496,16.900000000000002,37.6
00622,7577,22818,956,361,59,3409,18.2,45.0
00623,39406,23132,6425,1268,535,16400,20.9,41.6
00624,21648,20101,3202,425,54,16052,17.0,74.2
00627,32733,23263,3630,1141,353,26687,15.7,81.5
00631,1431,15658,273,59,0,1377,23.200000000000003,96.2
00637,22882,20568,3310,615,81,14793,17.5,64.60000000000001
00638,17605,19796,1663,238,83,9019,11.3,51.2
00641,24299,17673,3093,607,52,11942,15.4,49.1
00646,35926,31330,5841,1655,271,16043,21.6,44.7
00647,4702,17143,434,40,8,2337,10.299999999999999,49.7
00650,13767,20363,1625,210,13,6258,13.4,45.5
00652,3924,26148,672,153,0,1595,21.0,40.6
00653,8980,13777,639,235,1,5668,9.700000000000001,63.1
00656,18121,21456,2475,662,66,13909,17.7,76.8
00659,37066,23899,5857,1793,345,28807,21.6,77.7
00660,15483,22556,2671,622,47,3249,21.6,21.0
00662,40480,20283,5882,1660,172,22574,19.1,55.800000000000004
00664,14967,17966,1669,431,20,8056,14.2,53.800000000000004
00667,23370,16889,2824,544,90,9936,14.799999999999999,42.5
00669,27529,18838,2967,991,111,23993,14.799999999999999,87.2
00670,8746,16644,913,132,43,4902,12.4,56.00000000000001
00674,39385,20088,5110,1274,205,16294,16.7,41.4
00676,36683,20160,4663,1130,235,28106,16.400000000000002,76.6
00677,15304,26404,2152,436,152,6030,17.9,39.4
00678,25039,19558,2815,783,169,17356,15.0,69.3
00680,43173,16535,5398,1426,482,7550,16.900000000000002,17.5
00682,30414,17385,3724,1213,628,4887,18.3,16.1
00683,29547,18132,3813,822,349,18986,16.900000000000002,64.3
00685,40346,17481,4720,1141,236,29322,15.1,72.7
00687,28659,22282,2995,657,154,12506,13.3,43.6
00688,11478,17273,1417,173,59,3097,14.399999999999999,27.0
00690,5781,23343,860,172,16,4020,18.099999999999998,69.5
00692,33302,25289,3764,1379,405,11131,16.7,33.4
00693,55570,23791,7751,1851,171,22455,17.599999999999998,40.400000000000006
00698,33506,19818,5212,1158,334,24755,20.0,73.9
00703,24475,23045,2690,409,131,9973,13.200000000000001,40.699999999999996
00704,6831,19845,757,49,108,2054,13.4,30.099999999999998
00705,24401,22679,2740,1036,345,8641,16.900000000000002,35.4
00707,10487,21765,744,348,8,967,10.5,9.2
00714,15797,18496,2249,514,59,8438,17.9,53.400000000000006
00715,2040,16250,110,40,0,801,7.3999999999999995,39.300000000000004
00716,27166,20184,4967,1268,577,15241,25.1,56.10000000000001
00717,15029,14164,2440,758,142,7953,22.2,52.900000000000006
00718,23289,20414,2771,854,105,7887,16.0,33.900000000000006
00719,29523,20533,3049,716,144,13615,13.200000000000001,46.1
00720,20816,16751,2078,483,40,9714,12.5,46.7
00723,15978,20967,1571,746,25,1048,14.7,6.6000000000000005
00725,77244,25786,12155,3358,798,42866,21.099999999999998,55.50000000000001
00727,53258,33678,10298,3762,891,29152,28.1,54.7
00728,38590,21239,5588,1328,395,23528,18.9,61.0
00729,47826,26978,6430,2113,306,13980,18.5,29.2
00730,32267,17517,4613,1566,550,15339,20.9,47.5
00731,10473,16944,1329,223,67,5495,15.5,52.5
00735,11164,23125,1503,217,89,2969,16.2,26.6
00736,45867,27158,6694,1964,533,17863,20.0,38.9
00738,30093,24643,5124,1120,138,9206,21.2,30.599999999999998
00739,34678,24887,4830,1475,437,13833,19.400000000000002,39.900000000000006
00740,2034,18784,293,0,0,680,14.399999999999999,33.4
00741,3627,23821,464,45,10,662,14.299999999999999,18.3
00745,47494,26189,7210,1594,191,13081,18.9,27.500000000000004
00751,19570,20241,2162,593,45,5433,14.299999999999999,27.800000000000004
00754,36576,19528,3543,1371,188,4473,13.900000000000002,12.2
00757,20048,22764,2957,640,145,5680,18.7,28.299999999999997
00765,8199,17062,406,153,316,1813,10.7,22.1
00766,22053,22511,2749,466,90,8769,15.0,39.800000000000004
00767,30779,20126,3395,651,50,2463,13.3,8.0
00769,34374,20236,4608,923,343,10696,17.1,31.1
00771,34964,23343,4872,1975,29,3964,19.7,11.3
00772,17316,17209,1338,171,0,1595,8.7,9.2
00773,17716,22585,2065,629,238,4871,16.6,27.500000000000004
00775,1186,25483,116,11,0,342,10.7,28.799999999999997
00777,37726,26052,4557,1205,80,12429,15.5,32.9
00778,40476,39484,6847,1950,383,17069,22.7,42.199999999999996
00780,13908,26075,1959,736,237,5864,21.099999999999998,42.199999999999996
00782,18639,16221,1707,417,95,9031,11.899999999999999,48.5
00783,34205,21701,3929,1043,65,15920,14.7,46.5
00784,35917,19199,4045,1383,221,20459,15.7,56.99999999999999
00791,46537,26002,5858,1887,332,10933,17.4,23.5
00794,28335,21278,3713,675,88,15074,15.8,53.2
00795,42900,22579,6081,1631,215,10511,18.5,24.5
00901,8220,27926,1457,717,315,4191,30.3,51.0
00907,16607,40293,4358,1968,558,7233,41.5,43.6
00909,5260,25778,909,300,61,1763,24.099999999999998,33.5
00911,7087,38125,1803,761,176,2938,38.7,41.5
00912,5955,27026,1263,364,170,1610,30.2,27.0
00913,7068,6449,713,161,75,1954,13.4,27.6
00915,24713,12963,1942,182,126,3931,9.1,15.9
00917,18544,17086,2547,1117,99,7186,20.3,38.800000000000004
00918,15976,35000,4267,1599,492,6140,39.800000000000004,38.4
00920,17293,28562,3516,897,204,7070,26.700000000000003,40.9
00921,33555,21419,4935,1626,587,13228,21.3,39.4
00923,24760,18389,2807,973,257,7813,16.3,31.6
